[2025-11-30 13:48:06] [SQL ROUTING] Target: PRODUCTION | IP: 127.0.0.1 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: curl/8.14.1
[2025-11-30 13:48:07] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:07] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:07] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:07] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:17] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:17] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:17] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:17] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:27] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:27] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:27] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:27] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:29] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:29] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:29] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
[2025-11-30 13:48:29] [SQL ROUTING] Target: PRODUCTION | IP: 172.22.0.4 | URI: / | Reason: not_specified | Original Host: production_database:3306 | New Host: production_database:3306 | User-Agent: lua-resty-http/0.17.1 (Lua) ngx_lua/10028
